,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_trait,conscientiousness_trait,extraversion_trait,agreeableness_trait,neuroticism_trait,openness_percentile,conscientiousness_percentile,extraversion_percentile,agreeableness_percentile,neuroticism_percentile
32,2008.06849315,2017.91506849,6.39816360601,0.833333333333,0.0714285714286,0.047619047619,0.444444444444,0.206349206349,0.333333333333,0.015873015873,0.0,0.0,0.0,0.0,0.235294117647,0.235294117647,0.117647058824,0.441176470588,0.264705882353,35,0,63.0,4.1,4.5,4.5,3.77777777778,2.625,0.75,0.9125,0.95,0.375,0.5
33,2009.0109589,2018.01917808,49.7323600973,0.688821752266,0.19335347432,0.0543806646526,0.348214285714,0.404017857143,0.147321428571,0.0535714285714,0.0401785714286,0.00446428571429,0.00223214285714,0.0,0.588235294118,0.411764705882,0.647058823529,0.0,0.529411764706,46,0,448.0,3.2,4.25,2.875,4.44444444444,1.375,0.2125,0.775,0.275,0.9,0.0625
34,2009.83287671,2017.96438356,17.0940026954,0.139240506329,0.544303797468,0.291139240506,0.287769784173,0.388489208633,0.26618705036,0.0287769784173,0.0287769784173,0.0,0.0,0.0,0.323529411765,0.205882352941,0.411764705882,0.264705882353,0.352941176471,43,0,139.0,3.3,4.0,2.5,2.88888888889,4.25,0.2375,0.625,0.1375,0.0375,0.9625
35,2010.5369863,2017.67945205,15.1208285386,0.453333333333,0.266666666667,0.213333333333,0.527777777778,0.0833333333333,0.277777777778,0.00925925925926,0.0648148148148,0.0185185185185,0.0185185185185,0.0,0.794117647059,0.794117647059,0.794117647059,0.529411764706,0.911764705882,36,1,108.0,3.4,4.25,3.25,4.66666666667,1.75,0.3,0.775,0.425,0.9625,0.1
37,2013.35068493,2018.02739726,112.472173404,0.617511520737,0.239631336406,0.0921658986175,0.266159695817,0.507604562738,0.0950570342205,0.06463878327,0.0513307984791,0.0,0.0152091254753,0.0,0.0588235294118,0.0,0.0882352941176,0.0,0.411764705882,39,0,526.0,2.3,4.125,2.5,4.66666666667,2.5,0.0,0.7125,0.1375,0.9625,0.4125
38,2012.78082192,2017.75342466,15.0826446281,0.666666666667,0.228070175439,0.0350877192982,0.293333333333,0.24,0.2,0.226666666667,0.0133333333333,0.0,0.0,0.0266666666667,0.205882352941,0.5,0.205882352941,0.0,0.0588235294118,38,1,75.0,4.2,4.875,4.0,4.77777777778,3.0,0.8375,1.0,0.75,1.0,0.65
41,2003.55342466,2018.0109589,5.18760659466,0.425925925926,0.444444444444,0.0740740740741,0.266666666667,0.226666666667,0.0933333333333,0.0533333333333,0.04,0.32,0.0,0.0,0.911764705882,0.941176470588,0.882352941176,0.764705882353,0.882352941176,41,1,75.0,4.1,3.875,4.125,3.55555555556,1.0,0.75,0.5125,0.8125,0.2625,0.0
43,2008.04383562,2017.98356164,19.618246968,0.693251533742,0.19018404908,0.0736196319018,0.446153846154,0.153846153846,0.0923076923077,0.153846153846,0.0820512820513,0.0102564102564,0.00512820512821,0.0564102564103,0.852941176471,0.764705882353,0.852941176471,0.147058823529,1.0,31,1,195.0,3.3,3.25,3.0,4.0,2.875,0.2375,0.1625,0.325,0.5625,0.6125
44,2013.51232877,2017.98082192,22.378908645,0.571428571429,0.238095238095,0.174603174603,0.19,0.62,0.08,0.08,0.02,0.0,0.0,0.01,0.764705882353,0.823529411765,0.676470588235,0.617647058824,0.764705882353,45,0,100.0,3.9,3.875,3.25,4.66666666667,2.0,0.6,0.5125,0.425,0.9625,0.2125
46,2010.02191781,2018.01643836,10.0068540096,0.627450980392,0.352941176471,0.0196078431373,0.6,0.05,0.0625,0.0375,0.1125,0.1375,0.0,0.0,0.617647058824,0.647058823529,0.735294117647,0.735294117647,0.823529411765,44,1,80.0,4.3,3.625,1.875,4.0,3.75,0.9125,0.375,0.0125,0.5625,0.9125
50,2011.71780822,2017.23561644,20.2979145978,0.56,0.173333333333,0.173333333333,0.00892857142857,0.946428571429,0.0267857142857,0.0178571428571,0.0,0.0,0.0,0.0,0.970588235294,0.970588235294,0.941176470588,0.970588235294,0.794117647059,33,0,112.0,3.2,4.0,2.75,3.22222222222,3.625,0.2125,0.625,0.2125,0.075,0.875
53,2014.92054795,2018.03013699,63.0308370044,0.831325301205,0.114457831325,0.0361445783133,0.219387755102,0.397959183673,0.168367346939,0.112244897959,0.0816326530612,0.015306122449,0.00510204081633,0.0,0.176470588235,0.294117647059,0.235294117647,0.676470588235,0.647058823529,38,0,196.0,4.5,4.5,4.0,4.22222222222,1.75,0.9625,0.9125,0.75,0.75,0.1
54,2009.24109589,2018.01369863,40.1249219238,0.430711610487,0.370786516854,0.153558052434,0.323863636364,0.346590909091,0.0625,0.0397727272727,0.161931818182,0.0426136363636,0.00568181818182,0.0170454545455,0.882352941176,0.911764705882,0.911764705882,0.705882352941,0.941176470588,47,1,352.0,3.8,3.25,3.75,3.66666666667,1.875,0.5625,0.1625,0.65,0.3125,0.1625
56,2013.27671233,2018.00273973,26.6608695652,0.901639344262,0.0245901639344,0.0409836065574,0.174603174603,0.492063492063,0.293650793651,0.031746031746,0.00793650793651,0.0,0.0,0.0,0.470588235294,0.617647058824,0.352941176471,0.588235294118,0.176470588235,33,0,126.0,3.4,3.0,3.375,4.55555555556,3.375,0.3,0.05,0.55,0.9375,0.8125
57,2008.6109589,2018.01369863,16.8036130536,0.644859813084,0.242990654206,0.0934579439252,0.537974683544,0.139240506329,0.113924050633,0.0696202531646,0.120253164557,0.00632911392405,0.0,0.0126582278481,0.941176470588,0.852941176471,0.970588235294,0.764705882353,0.970588235294,37,1,158.0,3.0,3.25,2.75,4.44444444444,1.25,0.05,0.1625,0.2125,0.9,0.0125
59,2012.87671233,2017.65753425,15.0601719198,0.775862068966,0.120689655172,0.0689655172414,0.416666666667,0.208333333333,0.305555555556,0.0138888888889,0.0,0.0277777777778,0.0,0.0277777777778,0.147058823529,0.117647058824,0.147058823529,0.264705882353,0.205882352941,32,0,72.0,4.1,4.0,4.25,3.33333333333,2.625,0.75,0.625,0.8875,0.1375,0.5
63,2009.55616438,2017.83835616,10.0215018194,0.677419354839,0.274193548387,0.0483870967742,0.469879518072,0.180722891566,0.168674698795,0.0722891566265,0.0602409638554,0.0240963855422,0.0240963855422,0.0,0.647058823529,0.676470588235,0.617647058824,0.911764705882,0.529411764706,42,1,83.0,4.8,3.375,3.75,4.33333333333,2.375,1.0,0.2375,0.65,0.85,0.35
67,2014.39178082,2017.56986301,39.0172413793,0.377049180328,0.475409836066,0.114754098361,0.548387096774,0.161290322581,0.0806451612903,0.00806451612903,0.161290322581,0.0,0.0403225806452,0.0,0.352941176471,0.558823529412,0.323529411765,0.764705882353,0.235294117647,29,1,124.0,3.4,3.25,4.125,3.44444444444,4.625,0.3,0.1625,0.8125,0.175,1.0
71,2008.85205479,2017.83835616,7.01067073171,0.473684210526,0.315789473684,0.105263157895,0.507936507937,0.0952380952381,0.174603174603,0.0793650793651,0.126984126984,0.015873015873,0.0,0.0,0.823529411765,0.882352941176,0.764705882353,0.941176470588,0.382352941176,29,1,63.0,3.1,3.75,3.25,3.77777777778,3.125,0.1125,0.45,0.425,0.375,0.725
80,2012.82465753,2018.02465753,21.1538461538,0.6,0.2375,0.1125,0.227272727273,0.554545454545,0.136363636364,0.0272727272727,0.00909090909091,0.0,0.0363636363636,0.00909090909091,0.0294117647059,0.0588235294118,0.0294117647059,0.205882352941,0.0294117647059,26,0,110.0,2.5,3.375,3.5,3.11111111111,4.375,0.025,0.2375,0.575,0.05,0.9875
91,2014.34246575,2018.02191781,37.7773641102,0.625,0.201923076923,0.115384615385,0.302158273381,0.388489208633,0.115107913669,0.187050359712,0.00719424460432,0.0,0.0,0.0,0.5,0.441176470588,0.294117647059,0.558823529412,0.147058823529,24,0,139.0,3.6,3.375,3.25,3.44444444444,2.875,0.4625,0.2375,0.425,0.175,0.6125
101,2013.3260274,2017.99452055,20.3491784038,0.547945205479,0.287671232877,0.13698630137,0.463157894737,0.336842105263,0.0421052631579,0.0631578947368,0.0736842105263,0.0105263157895,0.0105263157895,0.0,0.0882352941176,0.0882352941176,0.0588235294118,0.470588235294,0.0,22,1,95.0,4.2,3.125,3.0,4.22222222222,2.625,0.8375,0.1375,0.325,0.75,0.5
109,2013.43561644,2018.0109589,19.4520958084,0.489361702128,0.340425531915,0.106382978723,0.303370786517,0.280898876404,0.269662921348,0.0337078651685,0.0561797752809,0.0112359550562,0.0337078651685,0.0112359550562,0.558823529412,0.588235294118,0.529411764706,0.117647058824,0.588235294118,26,1,89.0,3.1,2.0,4.5,4.0,3.625,0.1125,0.0,0.95,0.5625,0.875
112,2010.77808219,2017.98356164,23.8707224335,0.552083333333,0.135416666667,0.270833333333,0.71511627907,0.156976744186,0.0639534883721,0.0116279069767,0.0116279069767,0.0,0.0290697674419,0.0116279069767,0.294117647059,0.264705882353,0.441176470588,0.411764705882,0.852941176471,23,1,172.0,3.5,3.0,2.125,3.55555555556,2.875,0.3875,0.05,0.05,0.2625,0.6125
117,2011.96986301,2017.88219178,12.8544949027,0.491228070175,0.368421052632,0.105263157895,0.328947368421,0.184210526316,0.289473684211,0.0921052631579,0.0526315789474,0.0394736842105,0.0,0.0131578947368,0.705882352941,0.735294117647,0.823529411765,0.764705882353,0.441176470588,31,1,76.0,3.6,4.25,3.5,4.22222222222,1.75,0.4625,0.775,0.575,0.75,0.1
